词条ID,分类列表,英文原文,润色前,润色后,命中原因,来源文件示例
T000489,角色人物,"My friend, why should a man not eat the finest food off of golden plates, if he has the wit to do so? Although I confess I am growing a bit jaded of it all, and perhaps would enjoy a change of pace.",吾友，若人有智慧，为何不能享用金盘中的珍馐？尽管我承认对此已有些厌倦，或许换个节奏也不错。,我的朋友，如果一个人有头脑，为什么不能享用金盘里的珍馐呢？虽然我承认自己已经有点厌倦了，也许换个节奏也不错。,翻译腔命中：吾、若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000491,角色人物,"If you know your way around caravans, I may have some work for you.",若你熟悉商队门路，我或许有活计给你。,如果你熟悉商队的门路，我或许有活给你干。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000500,角色人物,"I did. Well, it was a risk - but a calculated one. If you are willing to listen to my story, I would welcome the chance to unburden my sorrows.",我确实如此。好吧，那是冒险——但经过算计。若你愿听我的故事，我乐得倾诉哀愁。,我确实做了。好吧，那是冒险——但经过算计。如果你愿意听我的故事，我很想有机会倾诉我的悲伤。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000501,角色人物,"Ah, a pity. If you were a native of Calradia, I would be most interested to know about your ancestry and some particulars of your place of birth. I am collecting notes on the lineages of this land, both of the great imperial families and of our barbarian brethren.",啊，可惜。若你是卡拉迪亚本地人，我定会深究你的家世与出生地详情。我正在收集这片土地上的谱系笔记，无论是帝国贵胄还是蛮族同胞。,啊，可惜。如果你是卡拉迪亚本地人，我会很想知道你的家世和出生地的详情。我正在收集这片土地上的谱系笔记，无论是帝国贵胄还是蛮族同胞。,翻译腔命中：若,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000510,角色人物,"I am Tabur son of Alqan. You do not recognize the name? Well, perhaps we move in different circles. Any connoisseur of dinner parties, wine, courtesans, and poetry would doubtless have heard of me.",我是阿尔坎之子塔布尔。你不认得这名字？或许我们圈子不同。任何宴会、美酒、名妓与诗歌的鉴赏家，想必都听过我的名号。,我是阿尔坎之子塔布尔。你不认得这名字？也许我们圈子不同。任何宴会、美酒、名妓与诗歌的鉴赏家，想必都听过我的名号。,翻译腔命中：之子,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000541,角色人物,"I do indeed. I pay attention to packing and loading in particular. It is a fine art, one which determines how fast a beast of burden can move, whether a caravan makes good time or is forever pausing to pick up a spilled load.",确实如此。我尤其注重打包与装载。此乃一门精妙技艺，决定驮兽行速之快慢，商队是疾行如风，还是频频驻足拾掇散落之货。,确实如此。我尤其注重打包与装载。这是一门精妙的技艺，决定驮兽能跑多快，商队是疾行如风，还是频频停下来收拾散落的货物。,翻译腔命中：此乃,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000545,角色人物,"Hello, traveller. The wanderer is a blessing to the lands through which he passes.",你好，旅人。流浪者乃其所经之地之福泽。,你好，旅人。流浪者所到之处，都会带来福泽。,翻译腔命中：之地,SandBox/ModuleData/Languages/std_companion_strings_xml.xml
T000546,角色人物,"Penton Neretzes was the son of the old emperor, Drosios Neretzes, killed at the Battle of Pendraic. Emperors' sons usually inherited the diadem, but that was custom, not law, and the Senate chose the general Arenicos instead. Most emperors would then have discretely eliminated such a potential challenger, but Arenicos took a calculated risk in the interest of imperial unity, and kept Penton alive. The Neretzes family traditionally were part of the oligarchic faction of the Empire and Penton now backs Lucon in the civil war.",彭顿·内雷泽斯乃先帝德罗西奥斯·内雷泽斯之子，殁于彭德雷克战役。皇帝之子通常继承冠冕，然此为习俗，非法令，元老院另选将军阿雷尼科斯。多数皇帝会悄然除掉此等潜在挑战者，但阿雷尼科斯为帝国团结计，冒险留彭顿性命。内雷泽斯家族传统上属帝国寡头派系，彭顿如今在内战中支持卢孔。,彭顿·内雷泽斯是先帝德罗西奥斯·内雷泽斯的儿子，在彭德雷克战役中阵亡。皇帝的儿子通常继承冠冕，但那是习俗，不是法律，元老院另选了将军阿雷尼科斯。多数皇帝会悄悄除掉这种潜在挑战者，但阿雷尼科斯为了帝国团结，冒险留了彭顿一命。内雷泽斯家族传统上属于帝国寡头派系，彭顿如今在内战中支持卢孔。,翻译腔命中：之子,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000547,角色人物,"Olek is patriarch of the Kuloving, one of the oldest of the Sturgian clans, which never really accepted the idea of the monarchy. He believes the boyars should be lords in their own lands. He is famed for once telling the prince, 'Every wound I suffer in battle under your banner is like my wife's caress, but every denar I pay to your treasury in tax is like an arrow in my gut.' He is older now, and keeps his counsel, but few believe that his resentment of princely authority has in any way diminished.",奥莱克乃库洛文家族之长，斯特吉亚最古老氏族之一，从未真正接受君主制。他主张波雅尔应为其领地之主。他曾对王子言：‘在您旗帜下每受一伤，如吾妻之爱抚；而每向国库缴纳一税，如箭穿吾肠。’如今他年事已高，深藏不露，但无人相信他对王权的怨恨有丝毫消减。,奥莱克是库洛文家族之长，斯特吉亚最古老的氏族之一，从未真正接受君主制。他主张波雅尔应为其领地之主。他曾对王子说：‘在您旗帜下每受一伤，如我妻子的爱抚；而每向国库缴纳一税，如箭穿我肠。’如今他年事已高，深藏不露，但无人相信他对王权的怨恨有丝毫消减。,翻译腔命中：吾,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000548,角色人物,"Godun is lord of the Vagiroving, one of the younger houses of the Sturgians. His people have always been as interested in trade as they have been in war, although Godun himself is everything a prince might want: cooperative, prompt to pay his feudal dues, quick to respond to his liege's calls to arms. Yet Raganvad has never fully trusted him, because it is hard to imagine a Vagiroving without his own long-term plan for personal aggrandizement.",戈敦乃瓦吉罗文家族之主，斯特吉亚较年轻氏族之一。其族人向来既重贸易亦重战争，然戈敦本人堪称王子理想之臣：合作、及时纳贡、迅速响应领主征召。然而拉甘瓦德从未完全信任他，因难以想象瓦吉罗文之人无长远私谋以自肥。,戈敦是瓦吉罗文家族之主，斯特吉亚较年轻的氏族之一。他的族人向来既重贸易也重战争，不过戈敦本人堪称王子理想的臣子：合作、及时纳贡、迅速响应领主的征召。然而拉甘瓦德从未完全信任他，因为很难想象一个瓦吉罗文人会没有长远私谋以自肥。,翻译腔命中：之人,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000549,角色人物,"The current High King of Battania is Caladog, a brilliant war captain adopted by the prior king, Aeril, who then died in mysterious circumstances. Despite the doubts around his accession, Caladog has made himself popular among the lesser clans of the land who admire him, a man of no great lineage, for having discomfited the Battanians' traditional clan hierarchy. His clan is the fen Gruffendoc, a formerly obscure family now swollen with his comrades-in-arms with whom he has made marriage alliances.",巴坦尼亚现任至高王为卡拉多格，乃先王埃里尔收养之杰出战将，后埃里尔死于非命。尽管其继位存疑，卡拉多格却深得境内小氏族拥戴，他们钦佩这位出身不高之人打破了巴坦尼亚传统氏族等级。其氏族为芬·格鲁芬多克，昔日无名，如今因他与其战友联姻而壮大。,巴坦尼亚现任至高王是卡拉多格，先王埃里尔收养的杰出战将，后来埃里尔死于非命。尽管他的继位存疑，卡拉多格却深得境内小氏族拥戴——他们钦佩这位出身不高的人打破了巴坦尼亚的传统氏族等级。他的氏族是芬·格鲁芬多克，昔日无名，如今因他与其战友联姻而壮大。,翻译腔命中：之人,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000553,角色人物,"Monchug, the current khan of the Khuzaits, looks upon the Empire in its state of disarray and dreams of glory, of surpassing his ancestor Urkhun and conquering even deeper into the settled lands. Some of the clans have been decimated by the Urkhunids' wars, however, and feel their sacrifices have not been properly rewarded. They yearn for a khan who is less interested in glory, and more interested in justice.",蒙楚格，现任库赛特可汗，见帝国分崩离析，梦想荣耀，欲超越先祖乌尔昆，深入定居之地征服。然部分氏族因乌尔昆家族战争损失惨重，自觉牺牲未得应有回报。他们渴望一位更重公正而非荣耀的可汗。,蒙楚格，现任库赛特可汗，见帝国分崩离析，梦想荣耀，欲超越先祖乌尔昆，深入定居之地征服。然而部分氏族因乌尔昆家族战争损失惨重，自觉牺牲未得应有回报。他们渴望一位更重公正而非荣耀的可汗。,翻译腔命中：之地,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000566,角色人物,"Phaea is a noblewoman of the house of Dionicos, traditional wardens of the empire's frontier with Battania. Like her mother, Lysica, she has trained to fight and to lead men in battle, so that the frontiers can still be defended when the clan patriarchs are away at war.",菲亚是迪奥尼科斯家族的贵妇，该家族世代守卫帝国与巴坦尼亚的边境。像她的母亲吕西卡一样，她受过战斗和统兵训练，以便在家族族长出征时仍能保卫边疆。,菲亚是迪奥尼科斯家族的贵妇，该家族世代守卫帝国与巴坦尼亚的边境。像她的母亲吕西卡一样，她受过战斗和统兵训练，这样在家族族长出征时仍能保卫边疆。,翻译腔命中：以便,SandBox/ModuleData/Languages/std_heroes_xml.xml
T000572,角色人物,"Ira is the daughter of Rhagaea, one of the three claimants to the imperial throne, and the slain emperor Arenicos. At one point, her father appeared to be grooming her as his heir. But though she took well to military campaigns, she also displayed a wild side unbecoming of imperial dignity, carousing in taverns with other young aristocrats and even appearing in the arenas as a gladiator. She is Rhagaea's heir-apparent, but her mother makes no secret of wishing to find her a responsible consort to ensure the continuity of the dynasty.",伊拉是拉盖娅与已故皇帝阿雷尼科斯之女，而拉盖娅正是帝国皇位的三位宣称者之一。曾有一时，她的父亲似乎有意将她培养为继承人。然而，尽管她于军事征战中表现出色，却也展露出有损帝国威仪的狂放一面——与年轻贵族们在酒馆纵饮狂欢，甚至以角斗士身份现身竞技场。她是拉盖娅的既定继承人，但她的母亲毫不掩饰地希望为她觅得一位可靠的配偶，以确保王朝延续。,伊拉是拉盖娅与已故皇帝阿雷尼科斯的女儿，而拉盖娅正是帝国皇位的三位宣称者之一。曾有一时，她的父亲似乎有意将她培养为继承人。然而，尽管她在军事征战中表现出色，却也展露出有损帝国威仪的狂放一面——与年轻贵族们在酒馆纵饮狂欢，甚至以角斗士身份现身竞技场。她是拉盖娅的既定继承人，但她的母亲毫不掩饰地希望为她觅得一位可靠的配偶，以确保王朝延续。,翻译腔命中：之女、甚,SandBox/ModuleData/Languages/std_heroes_xml.xml
T001216,角色人物,"See, there's a lot of tales about me, and only some of them are true. The Khuzaits call me by one name, the Aserai by another.",你看，关于我的传说很多，但只有一部分是真的。库赛特人叫我一个名字，阿塞莱人叫我另一个名字。,你看，关对我的传说很多，但只有一部分是真的。库赛特人叫我一个名字，阿塞莱人叫我另一个名字。,翻译腔命中：于我,SandBox/ModuleData/wanderer_strings.xml
T001217,角色人物,"I've been in a lot of fights and I've killed a lot of people. Ask you around - you shouldn't just take my word for it. But never one who didn't deserve it, and never once outside a fair fight.",我打过很多仗，杀过很多人。你可以四处打听——不该只信我的一面之词。但从未杀过不该杀之人，也从未在公平决斗之外动手。,我打过很多仗，杀过很多人。你可以四处打听——不该只信我的一面之词。但从未杀过不该杀的人，也从未在公平决斗之外动手。,翻译腔命中：之人,SandBox/ModuleData/wanderer_strings.xml
T001233,角色人物,"But Drosios Neretzes led the pick of the legions into an ambush in the Battanian woods. You may have heard that story. I was laid up sick at the time. But a lot of my comrades didn't come back, and things were never the same afterward.",但德罗西奥斯·内雷泽斯率领精锐军团在巴旦尼亚森林中了埋伏。你或许听过那故事。当时我因病卧床，但许多战友未能生还，此后一切便不复从前。,但德罗西奥斯·内雷泽斯率领精锐军团在巴旦尼亚森林中了埋伏。你或许听过那故事。当时我因病卧床，但许多战友没能生还，此后一切便不复从前。,翻译腔命中：未能,SandBox/ModuleData/wanderer_strings.xml
T001264,角色人物,"My family had debts, so I signed up to be a soldier under one of Old Neretzes's kinsmen. I guess I always liked men's work more than women's work. The legions took hill women as scouts but I was never the hidey-sneaky type. So I did what I did to be in the spear line.",我家欠了债，所以我报名当了兵，在老内雷泽斯的一个亲戚麾下。我想我一直更喜欢男人的活计而不是女人的。军团会招募山地女人当斥候，但我从来不是那种偷偷摸摸的类型。所以我做了该做的事，加入了矛兵线。,我家欠了债，所以我报名当了兵，在老内雷泽斯的一个亲戚手下。我想我一直更喜欢男人的活计而不是女人的。军团会招募山地女人当斥候，但我从来不是那种偷偷摸摸的类型。所以我做了该做的事，加入了矛兵线。,翻译腔命中：麾下,SandBox/ModuleData/wanderer_strings.xml
T001289,角色人物,"But one day I was contacted by an agent of the Bureau of Barbarian Affairs. I do not know how well you know them. Their original mission was to keep the foreign tribes divided and weak, but they expanded their remit into all the affairs of the empire, anything that might be deemed a threat. At first they wanted small harmless details about my patients. To do so was a violation of my oath, but I was anxious to have the favor of the Bureau. But soon they began to call on me for more and more.",但有一天，蛮族事务局的一个特工联系了我。我不知道你对他们了解多少。他们最初的任务是让外族保持分裂和威克号，但后来将职权扩大到帝国所有事务，任何可能被视为威胁的事情。起初他们只想要关于我病人的一些无害细节。这样做违反了我的誓言，但我急于得到事务局的青睐。但很快他们开始越来越频繁地找我。,但有一天，蛮族事务局的一个特工联系了我。我不知道你对他们了解多少。他们最初的任务是让外族保持分裂和威克号，但后来将职权扩大到帝国所有事务，任何可能被视为威胁的事情。起初他们只想要一些关对我病人的无害细节。这样做违反了我的誓言，但我急于得到事务局的青睐。但很快他们开始越来越频繁地找我。,翻译腔命中：于我,SandBox/ModuleData/wanderer_strings.xml
T001301,角色人物,"So, here I am, looking for a captain under whom to serve. I know the ways of an archon's court, and I know how to ride, but I am looking to master the ways of the sword. And if I learn my trade well, perhaps I shall one day reclaim my birthright!",所以，我来了，寻找一位可以效力的队长。我熟悉执政官宫廷的规矩，也懂得骑术，但我渴望掌握剑术之道。若我学艺有成，或许有朝一日能夺回我的继承权！,所以，我来了，寻找一位可以效力的队长。我熟悉执政官宫廷的规矩，也懂得骑术，但我渴望掌握剑术之道。如果我学艺有成，或许有朝一日能夺回我的继承权！,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001306,角色人物,"I expect that my kin will soon return to their homes, but I will not. I cannot... I cannot be in a place where I am at the mercy of any beast on the rampage. I will ply my trade among warriors. I will learn to harm as well as to heal. And if the time comes for me to marry, I will live in a land where there is a king, even a tyrant, rather than raising a family amid the war of all against all.",我料想我的亲人很快就会回家，但我不会。我不能……我不能待在一个任由暴徒宰割的地方。我将在战士中施展我的技艺。我要学会伤害，也要学会治愈。若有一天我成婚，我会选择有国王统治的土地，哪怕是个暴君，也不愿在人人相争的战乱中养育家庭。,我料想我的亲人很快就会回家，但我不会。我不能……我不能待在一个任由暴徒宰割的地方。我将在战士中施展我的技艺。我要学会伤害，也要学会治愈。如果有一天我成婚，我会选择有国王统治的土地，哪怕是个暴君，也不愿在人人相争的战乱中养育家庭。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001325,角色人物,"At any rate, if you know the leader of warband who's generous and honorable, he'll find no braver warrior to follow him than me.",无论如何，若你认识哪位慷慨而荣誉的战团领袖，他再也找不到比我更勇敢的追随者了。,无论如何，如果你认识哪位慷慨而荣誉的战团领袖，他再也找不到比我更勇敢的追随者了。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001333,角色人物,"I thought of going home. But I lost what denars I had saved during the riots. If there is a warband looking for good men, I would like to earn it back.",我曾想回家。但暴乱中我失去了积攒的所有第纳尔。若有战团招募好汉，我愿挣回这笔钱。,我曾想回家。但暴乱中我失去了积攒的所有第纳尔。如果有战团招募好汉，我愿挣回这笔钱。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001341,角色人物,"If the choice I had been mine, I would have never hurt anyone. I would live on my land, eat what I had grown, marry and have children. But the Heavens have decreed that I should eat by shedding other men's blood. In the city, rich men pay me well for that.",若我能选择，我绝不愿伤害任何人。我愿住在自己的土地上，吃自己种的粮食，娶妻生子。但苍穹注定我应以他人之血为生。在城里，富人们为此付我重金。,如果我能选择，我绝不愿伤害任何人。我愿住在自己的土地上，吃自己种的粮食，娶妻生子。但苍穹注定我应以他人之血为生。在城里，富人们为此付我重金。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001343,角色人物,"Look, friend, I'm here to drink, not talk. But if you really want to know, I'll give it to you in brief.",听着，朋友，我是来喝酒的，不是来聊天的。但若你真想知道，我便长话短说。,听着，朋友，我是来喝酒的，不是来聊天的。但如果你真想知道，我便长话短说。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001344,角色人物,"We Sturgians have a tradition. If two people have a dispute, and there's no witnesses, so it all comes down to one man's word against another's, then we let them settle it with swords. If one man doesn't like to fight, he can hire someone else to do the fighting. That's how it works with us. Probably other people do the same, because it's a good tradition.",我们斯特吉亚人有项传统。若两人争执，又无证人，只能凭各执一词，便让他们用剑了结。若一方不愿打斗，可雇人代战。我们就是这样。大概别处也一样，因为这是好传统。,我们斯特吉亚人有项传统。如果两人争执，又无证人，只能凭各执一词，便让他们用剑了结。如果一方不愿打斗，可雇人代战。我们就是这样。大概别处也一样，因为这是好传统。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001352,角色人物,"My parents died when I was young. My sister married. Her husband wanted my parents' farm. So he hired a devious man, a fast-talker, who knew the law well. He said... I don't even remember what he said, in court, before the council. But the council awarded both of them the farm.",我父母早亡。姐姐出嫁。她丈夫觊觎我父母的农场，于是雇了个狡诈之徒，一个能言善辩、精通律法之人。他在法庭上对议会说了什么……我甚至不记得了。但议会把农场判给了他们俩。,我父母早亡。姐姐出嫁。她丈夫觊觎我父母的农场，于是雇了个狡诈之徒，一个能言善辩、精通律法的家伙。他在法庭上对议会说了什么……我甚至不记得了。但议会把农场判给了他们俩。,翻译腔命中：之人、甚,SandBox/ModuleData/wanderer_strings.xml
T001397,角色人物,"So anyway, I need money to build a new hall, and start a new collection. So if someone wants to pay me my worth as a warrior, my spear is theirs!",所以无论如何，我需要钱来建造一个新的大厅，开始新的收藏。所以如果有人愿意按我的战士价值付钱，我的长矛就属于他们！,所以无论如何，我需要钱来建造一个新的大厅，开始新的收藏。所以如果有人愿意按我的战士价值付钱，我的长矛就归他了！,翻译腔命中：于他,SandBox/ModuleData/wanderer_strings.xml
T001398,角色人物,"Well now, I am a warrior of the Battanians. There is no greater boast than that, I will tell you! But perhaps if you hire me, I can tell you more later about the great names I have slain and the heads I have taken.",听好了，我是巴旦尼亚的勇士。没有比这更响亮的称号了，我告诉你！但若你雇佣我，日后我可详述我斩杀过哪些赫赫有名的人物，取过哪些首级。,听好了，我是巴旦尼亚的勇士。没有比这更响亮的称号了，我告诉你！但如果你雇佣我，日后我可详述我斩杀过哪些赫赫有名的人物，取过哪些首级。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001416,角色人物,"I am a connoisseur of horseflesh, my friend. No one knows horses better than I. But I find, alas, that often the best horses are wasted on unworthy owners, so I try to rectify that.",我是马肉鉴赏家，吾友。没人比我更懂马。但可惜，我发现好马常被不配的主人糟蹋，所以我试图纠正这一点。,我是马肉鉴赏家，朋友。没人比我更懂马。但可惜，我发现好马常被不配的主人糟蹋，所以我试图纠正这一点。,翻译腔命中：吾,SandBox/ModuleData/wanderer_strings.xml
T001432,角色人物,"Aye, once I made a fine living, in the Empire, stopping merchants on the roads and asking 'em for a bit of change. But there was a lass there, beautiful as the moon and just as cold, and she was my undoing. Courted by an imperial prefect but I thought, I can do better than that, with my takings, and I brought her the pick of the rings and finery and asked her to pass the evening with me.",是啊，我曾靠拦路向商人讨些零钱在帝国过得不错。但那里有个姑娘，美如明月，冷若冰霜，她毁了我。一位帝国长官在追求她，可我想，凭我的收获我能做得更好，便给她挑了最好的戒指和饰品，请她与我共度良宵。,是啊，我曾靠拦路向商人讨些零钱在帝国过得不错。但那里有个姑娘，美如明月，冷如冰霜，她毁了我。一位帝国长官在追求她，可我想，凭我的收获我能做得更好，便给她挑了最好的戒指和饰品，请她与我共度良宵。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
