术语ID,优先级,术语类型,英文术语,统一中文译名,分类列表,模块列表,出现次数,来源文件示例,备注
G00041,P0,舰船航海,Ataconia River,阿塔科尼亚·里弗,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00042,P0,舰船航海,Attached Ship,阿塔奇德·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00043,P0,舰船航海,Attempt Boarding,阿坦普特·博丁,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00044,P0,舰船航海,Autokrator,奥托克拉托尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00045,P0,舰船航海,Auxiliaries to the Fleet,奥克西利阿里斯·图·德·弗利特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00046,P0,舰船航海,Axe Breaker Banner,阿克斯·布雷克·班纳,舰船航海,NavalDLC,1,NavalDLC/ModuleData/banners.xml,文化称呼与专名音译修订
G00047,P0,舰船航海,Axe of the North Wind,阿克斯·奥夫·德·诺斯·温德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00048,P0,舰船航海,Badger,巴杰,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00049,P0,舰船航海,Ballista,巴利斯塔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00050,P0,舰船航海,Banner of Calradios,班纳·奥夫·卡拉迪奥斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00051,P0,舰船航海,Barracuda,巴拉库达,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00052,P0,舰船航海,Barrel of oil,巴雷尔·奥夫·奥伊尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00053,P0,舰船航海,Barrow-Filler,巴罗-菲勒,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00054,P0,舰船航海,Basilisk,巴西利斯克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00055,P0,舰船航海,Battering Liburna,巴特林·利布尔纳,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00056,P0,舰船航海,Battle-Howl of Curlac,巴特尔-豪尔·奥夫·库拉克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00057,P0,舰船航海,Battlements,巴特尔门茨,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00058,P0,舰船航海,Battlements with Barracks,巴特尔门茨·威斯·巴拉克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00059,P0,舰船航海,Battlements with Improved Rudder,巴特尔门茨·威斯·因普鲁夫德·拉德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00060,P0,舰船航海,Bayard,贝亚德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00061,P0,舰船航海,Beacon,比肯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00062,P0,舰船航海,Bear,贝尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00063,P0,舰船航海,Bear of Velos,贝尔·奥夫·维洛斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00064,P0,舰船航海,Behemoth,贝希摩斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00065,P0,舰船航海,Bellow of Tryth,贝洛·奥夫·特里特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00066,P0,舰船航海,Beluga,贝卢加,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00067,P0,舰船航海,Birch Wide Oars,伯奇·怀德·奥尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00068,P0,舰船航海,Bird of Jebel Qaf,伯德·奥夫·杰别尔·卡夫,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00069,P0,舰船航海,Birlinn,伯林,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00070,P0,舰船航海,Black Dromedary,布莱克·德罗梅达里,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00071,P0,舰船航海,Blackfish,布莱克菲什,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00072,P0,舰船航海,Blessing,布莱辛,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00073,P0,舰船航海,Blessing of Ulukayin,布莱辛·奥夫·乌鲁卡因,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00074,P0,舰船航海,Blessings Of The Sea,布莱辛斯·奥夫·德·西,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00075,P0,舰船航海,Blood-Spiller Banner,布拉德-斯皮勒·班纳,舰船航海,NavalDLC,1,NavalDLC/ModuleData/banners.xml,文化称呼与专名音译修订
G00076,P0,舰船航海,Bloody Wake,布拉迪·韦克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00077,P0,舰船航海,Blue Flame,布鲁·弗莱姆,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00078,P0,舰船航海,Boar of Torc Lugh,博尔·奥夫·托尔克·卢格,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00079,P0,舰船航海,Boarding,博丁,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00080,P0,舰船航海,Boarding Master,博丁·马斯特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00081,P0,舰船航海,Boarding Weapons,博丁·韦彭斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00082,P0,舰船航海,Boatswain,博茨温,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00083,P0,舰船航海,Bogatyr,博加特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00084,P0,舰船航海,Bold Vilund,博尔德·维隆德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00085,P0,舰船航海,Bolster the Militia,博尔斯特·米利提亚,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00086,P0,舰船航海,Break Free of Captivity,布雷克·弗里·卡普提维提,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00087,P0,舰船航海,Breath of the Djinn,布雷思·奥夫·吉恩,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00088,P0,舰船航海,Breath-Quencher,布雷思-昆彻,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00089,P0,舰船航海,Bride,布赖德号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00090,P0,舰船航海,Bronze Sheathing,布朗兹·希辛,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00091,P0,舰船航海,Brute Force,布鲁特·福斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00092,P0,舰船航海,Buffalo,布法罗号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00093,P0,舰船航海,Bull,布尔号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00094,P0,舰船航海,Bull of Cul,布尔·奥夫·库尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00095,P0,舰船航海,Buy,拜,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00096,P0,舰船航海,Buy Back,拜·巴克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00097,P0,舰船航海,Cachalot,卡沙洛特号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00098,P0,舰船航海,Cage for prisoners,凯奇·福·普瑞森纳,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00099,P0,舰船航海,Call fleet,考尔·弗利特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00100,P0,舰船航海,Call of the Oceans,考尔·奥夫·欧申斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00101,P0,舰船航海,Camel of the Nahasa,卡梅尔·奥夫·纳哈萨,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00102,P0,舰船航海,Cameleopard,卡梅洛帕德号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00103,P0,舰船航海,Capture the Merchant Crusas,卡普彻·默钱特·克鲁萨斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00104,P0,舰船航海,Capture the ship,卡普彻·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00105,P0,舰船航海,Captured Knarr,卡普彻德·克纳尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00106,P0,舰船航海,Captured Knarr Ship,卡普彻德·克纳尔·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00107,P0,舰船航海,Cargo Tent,卡戈·滕特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00108,P0,舰船航海,Centaur,森陶尔号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00109,P0,舰船航海,Chain to Oars,钦·图·奥尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00110,P0,舰船航海,Chains,钦斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00111,P0,舰船航海,Chalice,查利斯号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00112,P0,舰船航海,Change Camera,钱吉·卡梅拉,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00113,P0,舰船航海,Change Ship Name,钱吉·希普·内姆,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00114,P0,舰船航海,Change upgrade tier,钱吉·阿普格雷德·蒂尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_CustomBattle.xml,文化称呼与专名音译修订
G00115,P0,舰船航海,Cheetah,奇塔号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00116,P0,舰船航海,Chernobog's Laughter,切尔诺博格·劳夫特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00117,P0,舰船航海,Clear ship,克利尔·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_CustomBattle.xml,文化称呼与专名音译修订
G00118,P0,舰船航海,Clear Slot,克利尔·斯洛特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00119,P0,舰船航海,Coast of Chaikand,科斯特·奥夫·柴坎德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00120,P0,舰船航海,Coast of Drapand,科斯特·奥夫·德拉潘德,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00121,P0,舰船航海,Coast of Gretysfjord,科斯特·奥夫·格雷蒂斯峡湾,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00122,P0,舰船航海,Coast of Hakarshus,科斯特·奥夫·哈卡舒斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00123,P0,舰船航海,Coast of Hvalvik,科斯特·奥夫·瓦尔维克,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00124,P0,舰船航海,Coast of Jogurys,科斯特·奥夫·约古里斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00125,P0,舰船航海,Coast of Midskag,科斯特·奥夫·米兹斯卡格,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00126,P0,舰船航海,Coast of Ov,科斯特·奥夫·奥夫,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00127,P0,舰船航海,Coast of Qasira,科斯特·奥夫·卡西拉,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00128,P0,舰船航海,Coast of Razih,科斯特·奥夫·拉齐赫,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00129,P0,舰船航海,Coast of Tharklif,科斯特·奥夫·萨克利夫,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00130,P0,舰船航海,Coast of Varnovapol,科斯特·奥夫·瓦尔诺瓦波尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/naval_custom_battle_scenes.xml,文化称呼与专名音译修订
G00131,P0,舰船航海,Coastal fisherman,科斯特尔·费舍曼,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00132,P0,舰船航海,Coastal Guard Edict,海岸警卫法令,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00133,P0,舰船航海,Coastal Patrol,科斯特尔·帕特罗尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00134,P0,舰船航海,Codfish,科德菲什号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00135,P0,舰船航海,Cog of the Fortune,科格·奥夫·福琼,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00136,P0,舰船航海,Commanding Friendly Ships,科曼丁·弗兰德利·希普斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/module_strings.xml,文化称呼与专名音译修订
G00137,P0,舰船航海,Commodore,科莫多尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00138,P0,舰船航海,Concord,康科德号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00139,P0,舰船航海,Consort of Tiamat,康索特·奥夫·提亚马特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00140,P0,舰船航海,Control Ballista,康特罗尔·巴利斯塔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_GauntletUI.xml,文化称呼与专名音译修订
G00141,P0,舰船航海,Control the Ship,康特罗尔·希普,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_common_strings_xml.xml,文化称呼与专名音译修订
G00142,P0,舰船航海,Convoy Wage Multiplier,康沃伊·韦奇·马尔蒂普莱尔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00143,P0,舰船航海,Copper Sheathing,科珀·希辛,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00144,P0,舰船航海,Corbita,柯比塔,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_hulls.xml,文化称呼与专名音译修订
G00145,P0,舰船航海,Cormorant,科莫兰特号,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00146,P0,舰船航海,Corpse-Forger,科普斯-福杰,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00147,P0,舰船航海,Corsair Hunting Grounds,科塞尔·亨廷·格朗兹,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00148,P0,舰船航海,Corsair Traders,科塞尔·特雷德斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00149,P0,舰船航海,Cotton Sails,科顿·塞尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/ship_upgrade_pieces.xml,文化称呼与专名音译修订
G00150,P0,舰船航海,Crew Capacity,克鲁·卡帕西提,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_common_strings_xml.xml,文化称呼与专名音译修订
G00151,P0,舰船航海,Crew Count,克鲁·康特,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_CustomBattle.xml,文化称呼与专名音译修订
G00152,P0,舰船航海,Crew Melee Damage,克鲁·梅莱·达米吉,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
G00153,P0,舰船航海,Crew of Spears,克鲁·奥夫·斯皮尔斯,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC.xml,文化称呼与专名音译修订
G00154,P0,舰船航海,Crew Shield Hitpoints,克鲁·希尔德·希特波因茨,舰船航海,NavalDLC,1,NavalDLC/ModuleData/Languages/std_NavalDLC_ViewModelCollection.xml,文化称呼与专名音译修订
