英文专名,类型,当前译名,统一音译,使用规则,来源
Archangel,舰船航海,大天使,阿昌杰尔,AI音译，保留文化专名。,术语表候选
Ark of the Gal,舰船航海,加尔方舟,阿克·奥夫·德·加尔,AI音译，保留文化专名。,术语表候选
Arrow and Javelin Bins,舰船航海,箭矢标枪箱,阿罗·安德·贾弗林·宾斯,AI音译，保留文化专名。,术语表候选
Arrow Bins,舰船航海,箭矢箱,阿罗·宾斯,AI音译，保留文化专名。,术语表候选
Arrow Brazier,舰船航海,火箭火盆,阿罗·布拉齐尔,AI音译，保留文化专名。,术语表候选
Arrow Crates,舰船航海,箭矢板条箱,阿罗·克雷茨,AI音译，保留文化专名。,术语表候选
Arrow of Urkhun,舰船航海,乌尔昆之箭,阿罗·奥夫·乌尔昆,AI音译，保留文化专名。,术语表候选
Arsenals of State,舰船航海,国家武库,阿森纳尔斯·奥夫·斯泰特,AI音译，保留文化专名。,术语表候选
Asaligat,舰船航海,阿萨利加特,阿萨利加特,AI音译，保留文化专名。,术语表候选
Ash Light Oars,舰船航海,白蜡轻桨,阿什·莱特·奥尔斯,AI音译，保留文化专名。,术语表候选
Askar River,舰船航海,阿斯卡尔河,阿斯卡尔·里弗,AI音译，保留文化专名。,术语表候选
Asp,舰船航海,角蝰,阿斯普,AI音译，保留文化专名。,术语表候选
Aspen Light Oars,舰船航海,山杨轻桨,阿斯彭·莱特·奥尔斯,AI音译，保留文化专名。,术语表候选
Assign as Ship,舰船航海,指定为船,阿赛恩·阿斯·希普,AI音译，保留文化专名。,术语表候选
Ataconia River,舰船航海,阿塔科尼亚河,阿塔科尼亚·里弗,AI音译，保留文化专名。,术语表候选
Attached Ship,舰船航海,附属舰船,阿塔奇德·希普,AI音译，保留文化专名。,术语表候选
Attempt Boarding,舰船航海,尝试接舷,阿坦普特·博丁,AI音译，保留文化专名。,术语表候选
Autokrator,舰船航海,独裁者,奥托克拉托尔,AI音译，保留文化专名。,术语表候选
Auxiliaries to the Fleet,舰船航海,舰队辅助,奥克西利阿里斯·图·德·弗利特,AI音译，保留文化专名。,术语表候选
Axe Breaker Banner,舰船航海,破斧旗,阿克斯·布雷克·班纳,AI音译，保留文化专名。,术语表候选
Axe of the North Wind,舰船航海,北风之斧,阿克斯·奥夫·德·诺斯·温德,AI音译，保留文化专名。,术语表候选
Badger,舰船航海,獾,巴杰,AI音译，保留文化专名。,术语表候选
Ballista,舰船航海,弩炮,巴利斯塔,AI音译，保留文化专名。,术语表候选
Banner of Calradios,舰船航海,卡拉迪奥斯之旗,班纳·奥夫·卡拉迪奥斯,AI音译，保留文化专名。,术语表候选
Barracuda,舰船航海,梭鱼,巴拉库达,AI音译，保留文化专名。,术语表候选
Barrel of oil,舰船航海,油桶,巴雷尔·奥夫·奥伊尔,AI音译，保留文化专名。,术语表候选
Barrow-Filler,舰船航海,填墓者,巴罗-菲勒,AI音译，保留文化专名。,术语表候选
Basilisk,舰船航海,蛇怪,巴西利斯克,AI音译，保留文化专名。,术语表候选
Battering Liburna,舰船航海,撞击利布尼亚,巴特林·利布尔纳,AI音译，保留文化专名。,术语表候选
Battle-Howl of Curlac,舰船航海,库拉克战嚎,巴特尔-豪尔·奥夫·库拉克,AI音译，保留文化专名。,术语表候选
Battlements,舰船航海,城垛,巴特尔门茨,AI音译，保留文化专名。,术语表候选
Battlements with Barracks,舰船航海,城垛营房,巴特尔门茨·威斯·巴拉克,AI音译，保留文化专名。,术语表候选
Battlements with Improved Rudder,舰船航海,城垛改良舵,巴特尔门茨·威斯·因普鲁夫德·拉德,AI音译，保留文化专名。,术语表候选
Bayard,舰船航海,贝亚德,贝亚德,AI音译，保留文化专名。,术语表候选
Beacon,舰船航海,烽火,比肯,AI音译，保留文化专名。,术语表候选
Bear,舰船航海,熊,贝尔,AI音译，保留文化专名。,术语表候选
Bear of Velos,舰船航海,维洛斯之熊,贝尔·奥夫·维洛斯,AI音译，保留文化专名。,术语表候选
Behemoth,舰船航海,巨兽,贝希摩斯,AI音译，保留文化专名。,术语表候选
Bellow of Tryth,舰船航海,特里特之吼,贝洛·奥夫·特里特,AI音译，保留文化专名。,术语表候选
Beluga,舰船航海,白鲸,贝卢加,AI音译，保留文化专名。,术语表候选
Birch Wide Oars,舰船航海,桦木宽桨,伯奇·怀德·奥尔斯,AI音译，保留文化专名。,术语表候选
Bird of Jebel Qaf,舰船航海,杰别尔山鸟,伯德·奥夫·杰别尔·卡夫,AI音译，保留文化专名。,术语表候选
Birlinn,舰船航海,比林船,伯林,AI音译，保留文化专名。,术语表候选
Black Dromedary,舰船航海,黑单峰驼,布莱克·德罗梅达里,AI音译，保留文化专名。,术语表候选
Blackfish,舰船航海,黑鱼,布莱克菲什,AI音译，保留文化专名。,术语表候选
Blessing,舰船航海,祝福,布莱辛,AI音译，保留文化专名。,术语表候选
Blessing of Ulukayin,舰船航海,乌鲁卡因之佑,布莱辛·奥夫·乌鲁卡因,AI音译，保留文化专名。,术语表候选
Blessings Of The Sea,舰船航海,海洋赐福,布莱辛斯·奥夫·德·西,AI音译，保留文化专名。,术语表候选
Blood-Spiller Banner,舰船航海,溅血旗,布拉德-斯皮勒·班纳,AI音译，保留文化专名。,术语表候选
Bloody Wake,舰船航海,血浪,布拉迪·韦克,AI音译，保留文化专名。,术语表候选
Blue Flame,舰船航海,蓝焰,布鲁·弗莱姆,AI音译，保留文化专名。,术语表候选
Boar of Torc Lugh,舰船航海,托尔克卢格野猪,博尔·奥夫·托尔克·卢格,AI音译，保留文化专名。,术语表候选
Boarding,舰船航海,接舷,博丁,AI音译，保留文化专名。,术语表候选
Boarding Master,舰船航海,接舷大师,博丁·马斯特,AI音译，保留文化专名。,术语表候选
Boarding Weapons,舰船航海,登船武备,博丁·韦彭斯,AI音译，保留文化专名。,术语表候选
Boatswain,舰船航海,水手长,博茨温,AI音译，保留文化专名。,术语表候选
Bogatyr,舰船航海,博加特勇士,博加特,AI音译，保留文化专名。,术语表候选
Bold Vilund,舰船航海,无畏维隆德,博尔德·维隆德,AI音译，保留文化专名。,术语表候选
Bolster the Militia,舰船航海,壮丁征召,博尔斯特·米利提亚,AI音译，保留文化专名。,术语表候选
Break Free of Captivity,舰船航海,挣脱囚笼,布雷克·弗里·卡普提维提,AI音译，保留文化专名。,术语表候选
Breath of the Djinn,舰船航海,巨灵之息,布雷思·奥夫·吉恩,AI音译，保留文化专名。,术语表候选
Breath-Quencher,舰船航海,止渴之舟,布雷思-昆彻,AI音译，保留文化专名。,术语表候选
Bride,舰船航海,新娘号,布赖德号,AI音译，保留文化专名。,术语表候选
Bronze Sheathing,舰船航海,青铜包板,布朗兹·希辛,AI音译，保留文化专名。,术语表候选
Brute Force,舰船航海,蛮力,布鲁特·福斯,AI音译，保留文化专名。,术语表候选
Buffalo,舰船航海,水牛号,布法罗号,AI音译，保留文化专名。,术语表候选
Bull,舰船航海,公牛号,布尔号,AI音译，保留文化专名。,术语表候选
Bull of Cul,舰船航海,库尔公牛,布尔·奥夫·库尔,AI音译，保留文化专名。,术语表候选
Buy,舰船航海,购买,拜,AI音译，保留文化专名。,术语表候选
Buy Back,舰船航海,赎回,拜·巴克,AI音译，保留文化专名。,术语表候选
Cachalot,舰船航海,抹香鲸号,卡沙洛特号,AI音译，保留文化专名。,术语表候选
Cage for prisoners,舰船航海,囚笼,凯奇·福·普瑞森纳,AI音译，保留文化专名。,术语表候选
Call fleet,舰船航海,召集舰队,考尔·弗利特,AI音译，保留文化专名。,术语表候选
Call of the Oceans,舰船航海,海洋的呼唤,考尔·奥夫·欧申斯,AI音译，保留文化专名。,术语表候选
Camel of the Nahasa,舰船航海,纳哈萨之驼,卡梅尔·奥夫·纳哈萨,AI音译，保留文化专名。,术语表候选
Cameleopard,舰船航海,长颈鹿号,卡梅洛帕德号,AI音译，保留文化专名。,术语表候选
Capture the Merchant Crusas,舰船航海,捕获商船克鲁萨斯,卡普彻·默钱特·克鲁萨斯,AI音译，保留文化专名。,术语表候选
Capture the ship,舰船航海,夺船,卡普彻·希普,AI音译，保留文化专名。,术语表候选
Captured Knarr,舰船航海,俘获克纳尔,卡普彻德·克纳尔,AI音译，保留文化专名。,术语表候选
Captured Knarr Ship,舰船航海,俘获克纳尔船,卡普彻德·克纳尔·希普,AI音译，保留文化专名。,术语表候选
Cargo Tent,舰船航海,货舱帐篷,卡戈·滕特,AI音译，保留文化专名。,术语表候选
Centaur,舰船航海,半人马号,森陶尔号,AI音译，保留文化专名。,术语表候选
Chain to Oars,舰船航海,锁链缚桨,钦·图·奥尔斯,AI音译，保留文化专名。,术语表候选
Chains,舰船航海,锁链,钦斯,AI音译，保留文化专名。,术语表候选
Chalice,舰船航海,圣杯号,查利斯号,AI音译，保留文化专名。,术语表候选
Change Camera,舰船航海,切换视角,钱吉·卡梅拉,AI音译，保留文化专名。,术语表候选
Change Ship Name,舰船航海,更改船名,钱吉·希普·内姆,AI音译，保留文化专名。,术语表候选
Change upgrade tier,舰船航海,变更升级等级,钱吉·阿普格雷德·蒂尔,AI音译，保留文化专名。,术语表候选
Cheetah,舰船航海,猎豹号,奇塔号,AI音译，保留文化专名。,术语表候选
Chernobog's Laughter,舰船航海,切尔诺博格之笑,切尔诺博格·劳夫特,AI音译，保留文化专名。,术语表候选
Clear ship,舰船航海,清空船只,克利尔·希普,AI音译，保留文化专名。,术语表候选
Clear Slot,舰船航海,清空槽位,克利尔·斯洛特,AI音译，保留文化专名。,术语表候选
Coast of Chaikand,舰船航海,柴坎德海岸,科斯特·奥夫·柴坎德,AI音译，保留文化专名。,术语表候选
Coast of Drapand,舰船航海,德拉潘德海岸,科斯特·奥夫·德拉潘德,AI音译，保留文化专名。,术语表候选
Coast of Gretysfjord,舰船航海,格雷蒂斯峡湾海岸,科斯特·奥夫·格雷蒂斯峡湾,AI音译，保留文化专名。,术语表候选
Coast of Hakarshus,舰船航海,哈卡舒斯海岸,科斯特·奥夫·哈卡舒斯,AI音译，保留文化专名。,术语表候选
Coast of Hvalvik,舰船航海,瓦尔维克海岸,科斯特·奥夫·瓦尔维克,AI音译，保留文化专名。,术语表候选
Coast of Jogurys,舰船航海,约古里斯海岸,科斯特·奥夫·约古里斯,AI音译，保留文化专名。,术语表候选
Coast of Midskag,舰船航海,米兹斯卡格海岸,科斯特·奥夫·米兹斯卡格,AI音译，保留文化专名。,术语表候选
Coast of Ov,舰船航海,奥夫海岸,科斯特·奥夫·奥夫,AI音译，保留文化专名。,术语表候选
Coast of Qasira,舰船航海,卡西拉海岸,科斯特·奥夫·卡西拉,AI音译，保留文化专名。,术语表候选
Coast of Razih,舰船航海,拉齐赫海岸,科斯特·奥夫·拉齐赫,AI音译，保留文化专名。,术语表候选
Coast of Tharklif,舰船航海,萨克利夫海岸,科斯特·奥夫·萨克利夫,AI音译，保留文化专名。,术语表候选
Coast of Varnovapol,舰船航海,瓦尔诺瓦波尔海岸,科斯特·奥夫·瓦尔诺瓦波尔,AI音译，保留文化专名。,术语表候选
Coastal fisherman,舰船航海,沿岸渔民,科斯特尔·费舍曼,AI音译，保留文化专名。,术语表候选
Coastal Patrol,舰船航海,海岸巡逻,科斯特尔·帕特罗尔,AI音译，保留文化专名。,术语表候选
Codfish,舰船航海,鳕鱼号,科德菲什号,AI音译，保留文化专名。,术语表候选
Cog of the Fortune,舰船航海,命运柯克,科格·奥夫·福琼,AI音译，保留文化专名。,术语表候选
Commanding Friendly Ships,舰船航海,指挥友舰,科曼丁·弗兰德利·希普斯,AI音译，保留文化专名。,术语表候选
Commodore,舰船航海,准将,科莫多尔,AI音译，保留文化专名。,术语表候选
Concord,舰船航海,和谐号,康科德号,AI音译，保留文化专名。,术语表候选
Consort of Tiamat,舰船航海,提亚马特之侣,康索特·奥夫·提亚马特,AI音译，保留文化专名。,术语表候选
Control Ballista,舰船航海,操控弩炮,康特罗尔·巴利斯塔,AI音译，保留文化专名。,术语表候选
Control the Ship,舰船航海,掌舵,康特罗尔·希普,AI音译，保留文化专名。,术语表候选
Convoy Wage Multiplier,舰船航海,护航队薪资倍率,康沃伊·韦奇·马尔蒂普莱尔,AI音译，保留文化专名。,术语表候选
Copper Sheathing,舰船航海,铜皮包板,科珀·希辛,AI音译，保留文化专名。,术语表候选
Corbita,舰船航海,柯比塔,柯比塔,AI音译，保留文化专名。,术语表候选
Cormorant,舰船航海,鸬鹚号,科莫兰特号,AI音译，保留文化专名。,术语表候选
Corpse-Forger,舰船航海,尸骸锻造者,科普斯-福杰,AI音译，保留文化专名。,术语表候选
Corsair Hunting Grounds,舰船航海,海盗猎场,科塞尔·亨廷·格朗兹,AI音译，保留文化专名。,术语表候选
Corsair Traders,舰船航海,海盗商贩,科塞尔·特雷德斯,AI音译，保留文化专名。,术语表候选
Cotton Sails,舰船航海,棉帆,科顿·塞尔斯,AI音译，保留文化专名。,术语表候选
Crew Capacity,舰船航海,船员容量,克鲁·卡帕西提,AI音译，保留文化专名。,术语表候选
Crew Count,舰船航海,船员数量,克鲁·康特,AI音译，保留文化专名。,术语表候选
Crew Melee Damage,舰船航海,船员近战伤害,克鲁·梅莱·达米吉,AI音译，保留文化专名。,术语表候选
Crew of Spears,舰船航海,矛手船员,克鲁·奥夫·斯皮尔斯,AI音译，保留文化专名。,术语表候选
Crew Shield Hitpoints,舰船航海,船员盾牌生命,克鲁·希尔德·希特波因茨,AI音译，保留文化专名。,术语表候选
Crocodile,舰船航海,鳄鱼号,克罗科代尔号,AI音译，保留文化专名。,术语表候选
Crowd on the Sail,舰船航海,帆上拥挤,克劳德·昂·塞勒,AI音译，保留文化专名。,术语表候选
Cunning Tarsil,舰船航海,狡诈塔西尔,坎宁·塔西尔,AI音译，保留文化专名。,术语表候选
Currach Sailors,舰船航海,科拉科尔水手,库拉赫·塞勒斯,AI音译，保留文化专名。,术语表候选
Cut Loose,舰船航海,斩断缆绳,卡特·卢斯,AI音译，保留文化专名。,术语表候选
Cut Ships Loose,舰船航海,斩断船缆,卡特·希普斯·卢斯,AI音译，保留文化专名。,术语表候选
Death's Harbringer,舰船航海,死亡先驱,戴斯·哈布林杰,AI音译，保留文化专名。,术语表候选
Deck,舰船航海,甲板,德克,AI音译，保留文化专名。,术语表候选
Deck Tent,舰船航海,甲板帐篷,德克·滕特,AI音译，保留文化专名。,术语表候选
Defeat Corsairs in Skatrias,舰船航海,击败斯卡特里亚海盗,迪菲特·科塞尔斯·因·斯卡特里亚斯,AI音译，保留文化专名。,术语表候选
Defeat Fahda's consorts,舰船航海,击败法赫达的护卫,迪菲特·法赫达·康索茨,AI音译，保留文化专名。,术语表候选
Defeat Purig - Duel,舰船航海,击败普里格——决斗,击败普里格——决斗,AI音译，保留文化专名。,术语表候选
Defeat Purig's crew,舰船航海,击败普里格的船员,击败普里格的船员,AI音译，保留文化专名。,术语表候选
Defeat the Enemy Crew,舰船航海,击败敌方船员,击败敌方船员,AI音译，保留文化专名。,术语表候选
Defeat the Reinforcements,舰船航海,击败援军,击败援军,AI音译，保留文化专名。,术语表候选
Defeat the Sea Hound fleet,舰船航海,击败海狼舰队,击败海狼舰队,AI音译，保留文化专名。,术语表候选
Defeat the Sea Hounds,舰船航海,击败海狼,击败海狼,AI音译，保留文化专名。,术语表候选
Defeated corsair parties,舰船航海,被击败的海盗队伍,被击败的海盗队伍,AI音译，保留文化专名。,术语表候选
Defend Ship,舰船航海,防御舰船,防御舰船,AI音译，保留文化专名。,术语表候选
Delegate Command,舰船航海,委任指挥,委任指挥,AI音译，保留文化专名。,术语表候选
Destiny,舰船航海,命运,命运,AI音译，保留文化专名。,术语表候选
Destroy the Mangonels,舰船航海,摧毁投石机,摧毁投石机,AI音译，保留文化专名。,术语表候选
Devouring Wolf,舰船航海,噬狼,噬狼,AI音译，保留文化专名。,术语表候选
Dhow,舰船航海,三角帆船,三角帆船,AI音译，保留文化专名。,术语表候选
Diamond,舰船航海,钻石,钻石,AI音译，保留文化专名。,术语表候选
Discard,舰船航海,丢弃,丢弃,AI音译，保留文化专名。,术语表候选
Djinn's Cavalcade,舰船航海,巨灵巡游,巨灵巡游,AI音译，保留文化专名。,术语表候选
Dockers,舰船航海,码头工人,码头工人,AI音译，保留文化专名。,术语表候选
Dogfish,舰船航海,星鲨,星鲨,AI音译，保留文化专名。,术语表候选
Dolphin,舰船航海,海豚,海豚,AI音译，保留文化专名。,术语表候选
Dornal of the Harp,舰船航海,竖琴手多尔纳,竖琴手多尔纳,AI音译，保留文化专名。,术语表候选
Draconopedes,舰船航海,龙足,龙足,AI音译，保留文化专名。,术语表候选
Drakkar,舰船航海,龙头战船,龙头战船,AI音译，保留文化专名。,术语表候选
Draugr,舰船航海,尸鬼,尸鬼,AI音译，保留文化专名。,术语表候选
Dromakion,舰船航海,德罗马基翁,德罗马基翁,AI音译，保留文化专名。,术语表候选
Dromon,舰船航海,德罗蒙战舰,德罗蒙战舰,AI音译，保留文化专名。,术语表候选
Eagle,舰船航海,雄鹰,雄鹰,AI音译，保留文化专名。,术语表候选
Eastern Basic Tent,舰船航海,东方基础帐篷,东方基础帐篷,AI音译，保留文化专名。,术语表候选
Eastern Exquisite Tent,舰船航海,东方精制帐篷,东方精制帐篷,AI音译，保留文化专名。,术语表候选
Eastern Galley,舰船航海,东方桨帆船,东方桨帆船,AI音译，保留文化专名。,术语表候选
Eastern Ornate Tent,舰船航海,东方华丽帐篷,东方华丽帐篷,AI音译，保留文化专名。,术语表候选
Eel-Feeder,舰船航海,饲鳗者,饲鳗者,AI音译，保留文化专名。,术语表候选
Efficient Captain,舰船航海,干练船长,干练船长,AI音译，保留文化专名。,术语表候选
Elephant,舰船航海,巨象,巨象,AI音译，保留文化专名。,术语表候选
Emerald,舰船航海,翡翠,翡翠,AI音译，保留文化专名。,术语表候选
Enemy of the Wood,舰船航海,林木之敌,林木之敌,AI音译，保留文化专名。,术语表候选
Enter the hold,舰船航海,进入船舱,进入船舱,AI音译，保留文化专名。,术语表候选
Equipped,舰船航海,已装备,已装备,AI音译，保留文化专名。,术语表候选
Escape Captivity,舰船航海,逃离囚禁,逃离囚禁,AI音译，保留文化专名。,术语表候选
Escape Zone,舰船航海,逃离区域,逃离区域,AI音译，保留文化专名。,术语表候选
Escort the Vlandian Merchants,舰船航海,护送瓦兰迪亚商人,护送瓦兰迪亚商人,AI音译，保留文化专名。,术语表候选
Fahda's Consort,舰船航海,法赫达的护卫舰,法赫达的护卫舰,AI音译，保留文化专名。,术语表候选
Fahda's Corsairs,舰船航海,法赫达的海盗,法赫达的海盗,AI音译，保留文化专名。,术语表候选
Fahda's Ship,舰船航海,法赫达之舰,法赫达之舰,AI音译，保留文化专名。,术语表候选
Falcon,舰船航海,猎隼,猎隼,AI音译，保留文化专名。,术语表候选
Feather of Truth,舰船航海,真理之羽,真理之羽,AI音译，保留文化专名。,术语表候选
Ferret,舰船航海,雪貂,雪貂,AI音译，保留文化专名。,术语表候选
Ferryman,舰船航海,渡夫,渡夫,AI音译，保留文化专名。,术语表候选
Fighting Cockerel,舰船航海,斗鸡,斗鸡,AI音译，保留文化专名。,术语表候选
Figurehead,舰船航海,船首像,船首像,AI音译，保留文化专名。,术语表候选
Find your sister,舰船航海,寻找你的姐妹,寻找你的姐妹,AI音译，保留文化专名。,术语表候选
Fine Honed Boarding Weapons,舰船航海,精磨接舷武器,精磨接舷武器,AI音译，保留文化专名。,术语表候选
Fire Grapeshot Ballista,舰船航海,火焰霰弹弩炮,火焰霰弹弩炮,AI音译，保留文化专名。,术语表候选
Fire Pot Ballista,舰船航海,火罐弩炮,火罐弩炮,AI音译，保留文化专名。,术语表候选
Fishing Ship,舰船航海,渔船,渔船,AI音译，保留文化专名。,术语表候选
Fleet Commander,舰船航海,舰队指挥官,舰队指挥官,AI音译，保留文化专名。,术语表候选
Fleet Condition,舰船航海,舰队状态,舰队状态,AI音译，保留文化专名。,术语表候选
Flower,舰船航海,繁花,繁花,AI音译，保留文化专名。,术语表候选
Foe-Scatterer,舰船航海,破敌者,破敌者,AI音译，保留文化专名。,术语表候选
Follow Gunnar into the water,舰船航海,跟随贡纳尔入水,跟随贡纳尔入水,AI音译，保留文化专名。,术语表候选
Forceful,舰船航海,强力,强力,AI音译，保留文化专名。,术语表候选
Fore,舰船航海,船首,船首,AI音译，保留文化专名。,术语表候选
Fortune,舰船航海,幸运,幸运,AI音译，保留文化专名。,术语表候选
Fox,舰船航海,狐,狐,AI音译，保留文化专名。,术语表候选
Fragrance,舰船航海,芬芳,芬芳,AI音译，保留文化专名。,术语表候选
Free the Sea Hounds' captives,舰船航海,解救海狼的俘虏,解救海狼的俘虏,AI音译，保留文化专名。,术语表候选
Free yourself,舰船航海,挣脱束缚,挣脱束缚,AI音译，保留文化专名。,术语表候选
Frost-Giant,舰船航海,霜巨人,霜巨人,AI音译，保留文化专名。,术语表候选
Fryr's Pocket-Contents,舰船航海,弗莱尔的口袋,弗莱尔的口袋,AI音译，保留文化专名。,术语表候选
Fury of Erlik,舰船航海,厄尔利克之怒,厄尔利克之怒,AI音译，保留文化专名。,术语表候选
Fyrger,舰船航海,菲尔格,菲尔格,AI音译，保留文化专名。,术语表候选
Gale-Rider,舰船航海,御风者,御风者,AI音译，保留文化专名。,术语表候选
Gather Reinforcements,舰船航海,集结援军,集结援军,AI音译，保留文化专名。,术语表候选
Gatopard,舰船航海,豹猫,豹猫,AI音译，保留文化专名。,术语表候选
Gazelle,舰船航海,羚羊,羚羊,AI音译，保留文化专名。,术语表候选
Get ready to board…,舰船航海,准备接舷……,准备接舷……,AI音译，保留文化专名。,术语表候选
Ghibli,舰船航海,热风,热风,AI音译，保留文化专名。,术语表候选
Ghost,舰船航海,幽灵,幽灵,AI音译，保留文化专名。,术语表候选
Ghost Ship,舰船航海,幽灵船,幽灵船,AI音译，保留文化专名。,术语表候选
Ghula's Kiss,舰船航海,古拉之吻,古拉之吻,AI音译，保留文化专名。,术语表候选
Ghurab,舰船航海,古拉布,古拉布,AI音译，保留文化专名。,术语表候选
Giant,舰船航海,巨人,贾恩特号,AI音译，保留文化专名。,术语表候选
Gift of Bura Khan,舰船航海,布拉汗之赐,布拉汗之赐号,AI音译，保留文化专名。,术语表候选
Gilded Purse,舰船航海,镀金钱袋,吉尔德珀斯号,AI音译，保留文化专名。,术语表候选
Give,舰船航海,给予,吉夫号,AI音译，保留文化专名。,术语表候选
Give Back,舰船航海,归还,吉夫巴克号,AI音译，保留文化专名。,术语表候选
Give preference to infantry troops,舰船航海,优先步兵,优先步兵,AI音译，保留文化专名。,术语表候选
Give preference to ranged troops,舰船航海,优先远程,优先远程,AI音译，保留文化专名。,术语表候选
Go to the port,舰船航海,前往港口,前往港口,AI音译，保留文化专名。,术语表候选
Go to the Skatria Islands,舰船航海,前往斯卡特里亚群岛,前往斯卡特里亚群岛,AI音译，保留文化专名。,术语表候选
Go to the town center,舰船航海,前往镇中心,前往镇中心,AI音译，保留文化专名。,术语表候选
Golden Dromedary,舰船航海,金驼,戈尔登德罗默达里号,AI音译，保留文化专名。,术语表候选
Golden Eel,舰船航海,金鳗,戈尔登伊尔号,AI音译，保留文化专名。,术语表候选
Golden Mermaid,舰船航海,金美人鱼,戈尔登默梅德号,AI音译，保留文化专名。,术语表候选
Golden Rukh,舰船航海,金巨鹏,戈尔登鲁克号,AI音译，保留文化专名。,术语表候选
Grapeshot Ballista,舰船航海,葡萄弹弩炮,格雷普肖特巴利斯塔号,AI音译，保留文化专名。,术语表候选
Great Tethys,舰船航海,大泰西斯,格雷特泰西斯号,AI音译，保留文化专名。,术语表候选
Griffin,舰船航海,狮鹫,格里芬号,AI音译，保留文化专名。,术语表候选
Guardian of the Lake,舰船航海,湖之守护者,加迪安奥夫瑟莱克号,AI音译，保留文化专名。,术语表候选
Guiding Star,舰船航海,指路星,盖丁斯塔尔号,AI音译，保留文化专名。,术语表候选
Gull,舰船航海,海鸥,加尔号,AI音译，保留文化专名。,术语表候选
Gunnar's Longship,舰船航海,贡纳长船,贡纳朗希普号,AI音译，保留文化专名。,术语表候选
Gunnar's Skill,舰船航海,贡纳之技,贡纳斯吉尔号,AI音译，保留文化专名。,术语表候选
Haboob,舰船航海,沙暴,哈布布号,AI音译，保留文化专名。,术语表候选
Hailing point,舰船航海,呼叫点,海灵波因特号,AI音译，保留文化专名。,术语表候选
Hare,舰船航海,野兔,海尔号,AI音译，保留文化专名。,术语表候选
Hargard River,舰船航海,哈加德河,哈加德河,AI音译，保留文化专名。,术语表候选
Heavy,舰船航海,重型,赫维号,AI音译，保留文化专名。,术语表候选
