行号,范围,模块,分类,子分类,来源文件,XML路径,记录标签,记录ID,字段,字符串ID,英文原文,中文译文,翻译状态
39808,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[6],NPCCharacter,nord_boandi,attr:name,QaAsyLju,Nord Shield Biters,诺德碎盾者,已翻译
39809,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[7],NPCCharacter,nord_berserkr,attr:name,d7XgM4EZ,Nord Berserkir,诺德贝瑟克,已翻译
39810,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[8],NPCCharacter,nord_ungmann,attr:name,5PIe3Zia,Nord Scion,诺德后裔,已翻译
39811,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[9],NPCCharacter,nord_thegn,attr:name,aztogWWW,Nord War-Proven,诺德久经沙场者,已翻译
39812,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[10],NPCCharacter,nord_jarlsmann,attr:name,iOaO8NGB,Nord Hearthguard,诺德家臣卫士,已翻译
39813,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[11],NPCCharacter,nord_hirdmann,attr:name,RRbpc6fr,Nord Shield-Companion,诺德盾伴,已翻译
39814,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[12],NPCCharacter,nord_huscarl,attr:name,JnwNuZb7,Nord Huscarl,诺德胡斯卡尔,已翻译
39815,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[13],NPCCharacter,nord_huntsman,attr:name,vWSJeIco,Nord Huntsman,诺德猎手,已翻译
39816,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[14],NPCCharacter,nord_freeman_archer,attr:name,riJbUCl9,Nord Freeman Archer,诺德自由民弓手,已翻译
39817,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[15],NPCCharacter,nord_marksman,attr:name,5LvI1bsQ,Nord Marksman,诺德神射手,已翻译
39818,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[16],NPCCharacter,nord_skathi,attr:name,mI7igoBF,Nord Sky-Gods Chosen,诺德天选者,已翻译
39819,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[17],NPCCharacter,nord_hew-bearer,attr:name,lLPgEh9p,Nord Marauder,诺德掠夺者,已翻译
39820,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[18],NPCCharacter,nord_vargr,attr:name,VpTQ5SyS,Nord Warfang,诺德战狼,已翻译
39821,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[19],NPCCharacter,nord_skjaldbrestir,attr:name,2RnBNzlX,Nord Skjaldbrestir,诺德斯基亚尔德布雷斯蒂尔,已翻译
39822,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[20],NPCCharacter,nord_ulfhednar,attr:name,7T3mspgx,Nord Ulfhedinn,诺德乌尔夫赫丁,已翻译
39823,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[21],NPCCharacter,nord_militia_archer,attr:name,otySLQx8,Nord Militia Archer,诺德民兵弓手,已翻译
39824,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[22],NPCCharacter,nord_militia_veteran_archer,attr:name,838d1Yy8,Nord Militia Veteran Archer,诺德民兵老兵弓手,已翻译
39825,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[23],NPCCharacter,nord_militia_spearman,attr:name,zdzs2ulH,Nord Militia Spearman,诺德民兵矛兵,已翻译
39826,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[24],NPCCharacter,nord_militia_veteran_spearman,attr:name,hTvbIUt4,Nord Militia Veteran Spearman,诺德民兵老兵矛兵,已翻译
39827,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[25],NPCCharacter,tournament_master_nord,attr:name,IHKXNP9H,Tournament Master,竞技场大师,已翻译
39828,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[26],NPCCharacter,caravan_master_nord,attr:name,ID0mBGaU,Nord Caravan Master,诺德商队统领,已翻译
39829,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[27],NPCCharacter,caravan_guard_nord,attr:name,iln3nSsq,Nord Caravan Guard,诺德商队护卫,已翻译
39830,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[28],NPCCharacter,veteran_caravan_guard_nord,attr:name,bqy8Pvbx,Nord Veteran Caravan Guard,诺德老兵商队护卫,已翻译
39831,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[29],NPCCharacter,armed_trader_nord,attr:name,7v15a6aH,Nord Armed Trader,诺德武装商人,已翻译
39832,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[30],NPCCharacter,prison_guard_nord,attr:name,XgjXfmM1,Prison Guard,狱卒,已翻译
39833,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[31],NPCCharacter,blacksmith_nord,attr:name,bNnQt4jN,Blacksmith,铁匠,已翻译
39834,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[32],NPCCharacter,weaponsmith_nord,attr:name,UaN2lfwi,Weaponsmith,武器匠,已翻译
39835,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[33],NPCCharacter,townswoman_infant_nord,attr:name,femaleinfant,Infant,婴儿,已翻译
39838,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[36],NPCCharacter,townsman_nord,attr:name,muu5cofb,Townsman,镇民,已翻译
39839,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[37],NPCCharacter,townsman_infant_nord,attr:name,maleinfant,Infant,婴儿,已翻译
39843,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[41],NPCCharacter,villager_child_nord,attr:name,malechild,Child,孩童,已翻译
39844,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[42],NPCCharacter,villager_teenager_nord,attr:name,maleteenager,Teenager,少年,已翻译
39845,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[43],NPCCharacter,village_woman_child_nord,attr:name,femalechild,Child,孩童,已翻译
39846,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[44],NPCCharacter,village_woman_teenager_nord,attr:name,femaleteenager,Teenager,少年,已翻译
39847,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[45],NPCCharacter,ransom_broker_nord,attr:name,W2WXkiAh,Ransom Broker,赎金掮客,已翻译
39848,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[46],NPCCharacter,gangleader_bodyguard_nord,attr:name,LNNXiPyV,Gang Leader Bodyguard,帮派头目保镖,已翻译
39849,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[47],NPCCharacter,merchant_notary_nord,attr:name,reoVAtrE,Merchant Notary,商队公证员,已翻译
39850,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[48],NPCCharacter,artisan_notary_nord,attr:name,ECxiXTbF,Artisan Notary,工匠公证人,已翻译
39851,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[49],NPCCharacter,preacher_notary_nord,attr:name,xKyiJbiN,Preacher Notary,布道公证人,已翻译
39852,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[50],NPCCharacter,rural_notable_notary_nord,attr:name,TwPt4boh,Rural Notable Notary,乡绅公证人,已翻译
39853,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[51],NPCCharacter,shop_worker_nord,attr:name,275LD0Gh,Shop Worker,店铺工人,已翻译
39854,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[52],NPCCharacter,tavernkeeper_nord,attr:name,CsjtWt1g,Tavern Keeper,酒馆老板,已翻译
39855,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[53],NPCCharacter,taverngamehost_nord,attr:name,twCIejxn,Game Host,游戏主持人,已翻译
39856,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[54],NPCCharacter,musician_nord,attr:name,zfCoeglY,Musician,乐师,已翻译
39857,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[55],NPCCharacter,tavern_wench_nord,attr:name,z6RMWTaA,Tavern Maid,酒馆女侍,已翻译
39858,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[56],NPCCharacter,armorer_nord,attr:name,jx8ohENz,Armorer,甲胄匠,已翻译
39859,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[57],NPCCharacter,horseMerchant_nord,attr:name,79ElOr2x,Horse Trader,马商,已翻译
39860,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[58],NPCCharacter,barber_nord,attr:name,WH7EGGIg,Barber,理发师,已翻译
39861,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[59],NPCCharacter,merchant_nord,attr:name,thbcgVVO,Trader,商人,已翻译
39862,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[60],NPCCharacter,beggar_nord,attr:name,malebeggar,Beggar,乞丐,已翻译
39863,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[61],NPCCharacter,female_beggar_nord,attr:name,femalebeggar,Beggar,乞丐,已翻译
39864,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[62],NPCCharacter,female_dancer_nord,attr:name,X3KYysuv,Dancer,舞者,已翻译
39865,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[63],NPCCharacter,guard_nord,attr:name,guardnoun,Guard,卫兵,已翻译
39866,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[64],NPCCharacter,townswoman_nord,attr:name,wDkFzSHj,Nord Townswoman,诺德镇妇,已翻译
39867,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[65],NPCCharacter,naval_caravan_master_nord,attr:name,1UX4qqzu,Nord Convoy Master,诺德护送统领,已翻译
39868,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[66],NPCCharacter,naval_caravan_master_aserai,attr:name,YnupavdJ,Aserai Convoy Master,阿斯特商队领队,已翻译
39869,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[67],NPCCharacter,naval_caravan_master_battania,attr:name,XmYv2A6W,Battanian Convoy Master,巴旦尼亚商队领队,已翻译
39870,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[68],NPCCharacter,naval_caravan_master_empire,attr:name,k02auqV3,Imperial Convoy Master,帝国商队领队,已翻译
39871,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[69],NPCCharacter,naval_caravan_master_khuzait,attr:name,R9V2D2M9,Khuzait Convoy Master,库赛特商队领队,已翻译
39872,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[70],NPCCharacter,naval_caravan_master_sturgia,attr:name,ElJ7WhOY,Sturgian Convoy Master,斯特吉亚护送统领,已翻译
39873,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[71],NPCCharacter,naval_caravan_master_vlandia,attr:name,iSuRFg6w,Vlandian Convoy Master,瓦兰迪亚商队统领,已翻译
39874,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[72],NPCCharacter,naval_armed_trader_nord,attr:name,njJIKDuP,Nord Armed Convoy Trader,诺德武装商队商人,已翻译
39875,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[73],NPCCharacter,naval_armed_trader_aserai,attr:name,PNGnocuL,Aserai Armed Convoy Trader,阿塞莱武装商队商贾,已翻译
39876,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[74],NPCCharacter,naval_armed_trader_battania,attr:name,gDePG2fa,Battanian Armed Convoy Trader,巴旦尼亚武装商队商人,已翻译
39877,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[75],NPCCharacter,naval_armed_trader_empire,attr:name,NbCTQX3H,Imperial Armed Convoy Trader,帝国武装商队商人,已翻译
39878,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[76],NPCCharacter,naval_armed_trader_khuzait,attr:name,6UW6cpk4,Khuzait Armed Convoy Trader,库赛特武装商队商人,已翻译
39879,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[77],NPCCharacter,naval_armed_trader_sturgia,attr:name,xBgAZXVY,Sturgian Armed Convoy Trader,斯特吉亚武装商队商人,已翻译
39880,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[78],NPCCharacter,naval_armed_trader_vlandia,attr:name,BPTb1L6Z,Vlandian Armed Convoy Trader,瓦兰迪亚武装商队商人,已翻译
39881,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[79],NPCCharacter,naval_caravan_guard_nord,attr:name,bJTGiuDm,Nord Convoy Guard,诺德护送卫兵,已翻译
39882,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[80],NPCCharacter,naval_caravan_guard_aserai,attr:name,H7LC8HdR,Aserai Convoy Guard,阿塞莱商队护卫,已翻译
39883,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[81],NPCCharacter,naval_caravan_guard_battania,attr:name,P0vCR0Yz,Battanian Convoy Guard,巴旦尼亚商队护卫,已翻译
39884,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[82],NPCCharacter,naval_caravan_guard_empire,attr:name,UyZmcSR6,Imperial Convoy Guard,帝国商队护卫,已翻译
39885,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[83],NPCCharacter,naval_caravan_guard_khuzait,attr:name,KQ99Kfbz,Khuzait Convoy Guard,库赛特商队护卫,已翻译
39886,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[84],NPCCharacter,naval_caravan_guard_sturgia,attr:name,piiipqcU,Sturgian Convoy Guard,斯特吉亚护送卫兵,已翻译
39887,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[85],NPCCharacter,naval_caravan_guard_vlandia,attr:name,a2uZixDC,Vlandian Convoy Guard,瓦兰迪亚商队护卫,已翻译
39888,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[86],NPCCharacter,naval_veteran_caravan_guard_nord,attr:name,P5TNVLqn,Nord Veteran Convoy Guard,诺德老兵护送卫兵,已翻译
39889,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[87],NPCCharacter,naval_veteran_caravan_guard_aserai,attr:name,Wk1GiqG2,Aserai Veteran Convoy Guard,阿塞莱资深商队护卫,已翻译
39890,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[88],NPCCharacter,naval_veteran_caravan_guard_battania,attr:name,qRBIm5RZ,Battanian Veteran Convoy Guard,巴旦尼亚资深商队护卫,已翻译
39891,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[89],NPCCharacter,naval_veteran_caravan_guard_empire,attr:name,aPnDzZNR,Imperial Veteran Convoy Guard,帝国资深商队护卫,已翻译
39892,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[90],NPCCharacter,naval_veteran_caravan_guard_khuzait,attr:name,MjcLowad,Khuzait Veteran Convoy Guard,库赛特资深商队护卫,已翻译
39893,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[91],NPCCharacter,naval_veteran_caravan_guard_sturgia,attr:name,Dl0BM7l2,Sturgian Veteran Convoy Guard,斯特吉亚老兵护送卫兵,已翻译
39894,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[92],NPCCharacter,naval_veteran_caravan_guard_vlandia,attr:name,33X9M3dY,Vlandian Veteran Convoy Guard,瓦兰迪亚资深商队护卫,已翻译
