行号,范围,模块,分类,子分类,来源文件,XML路径,记录标签,记录ID,字段,字符串ID,英文原文
39927,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[125],NPCCharacter,tournament_template_nord_four_participant_set_v1,attr:name,,tournament_template_nord_four_participant_set_v1
39928,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[126],NPCCharacter,tournament_template_nord_four_participant_set_v2,attr:name,,tournament_template_nord_four_participant_set_v2
39929,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[127],NPCCharacter,tournament_template_nord_four_participant_set_v3,attr:name,,tournament_template_nord_four_participant_set_v3
39930,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[128],NPCCharacter,tournament_template_nord_four_participant_set_v4,attr:name,,tournament_template_nord_four_participant_set_v4
39932,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[130],NPCCharacter,npc_wanderer_equipment_template_nord,attr:name,,wanderer_equipment
39933,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[131],NPCCharacter,npc_armed_wanderer_equipment_template_nord,attr:name,,wanderer_equipment
39934,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[132],NPCCharacter,npc_companion_equipment_template_nord,attr:name,,wanderer_equipment
39935,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[133],NPCCharacter,nord_troop_civilian_template_t1,attr:name,,nord_troop_civilian_template_t1
39936,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[134],NPCCharacter,nord_troop_civilian_template_t2,attr:name,,nord_troop_civilian_template_t2
39937,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[135],NPCCharacter,nord_troop_civilian_template_t3,attr:name,,nord_troop_civilian_template_t3
39938,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[136],NPCCharacter,nord_bat_template_medium,attr:name,,nord_noble_battle_equipment
39939,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[137],NPCCharacter,nord_bat_template_lady,attr:name,,nord_battle_equipment_for_noncom_lady
39940,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[138],NPCCharacter,nord_bat_template_heavy,attr:name,,nord_bat_template_heavy
39941,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[139],NPCCharacter,nord_bat_template_flamboyant,attr:name,,nord_bat_template_flamboyant
39942,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[140],NPCCharacter,nord_bat_template_woodsman,attr:name,,nord_bat_template_woodsman
39943,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[141],NPCCharacter,nord_civ_template_default,attr:name,,nord_civ_template_default
39944,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[142],NPCCharacter,nord_civ_template_heavy,attr:name,,nord_unarmored_noble_equipment_heavy
39945,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[143],NPCCharacter,nord_civ_template_flamboyant,attr:name,,nord_civilian_noble_equipment_flamboyant
39946,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[144],NPCCharacter,nord_civ_template_woodsman,attr:name,,nord_civilian_noble_equipment_woodsman
39947,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[145],NPCCharacter,nord_noncom_template_default,attr:name,,nord_unarmored_noble_equipment_normal_lady
39948,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[146],NPCCharacter,nord_noncom_template_flamboyant,attr:name,,nord_unarmored_noble_equipment_flamboyant_lady
39949,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[147],NPCCharacter,nord_noncom_template_woods,attr:name,,"Nord civilian sets for noncombatant ladies, woods"
39950,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[148],NPCCharacter,player_char_creation_nord,attr:name,,with two-handed swords
39951,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[149],NPCCharacter,weapon_practice_stage_1_nord,attr:name,,Nord Weapon Dummy
39952,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[150],NPCCharacter,weapon_practice_stage_2_nord,attr:name,,Nord Weapon Dummy
39953,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[151],NPCCharacter,weapon_practice_stage_3_nord,attr:name,,Nord Weapon Dummy
39954,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[152],NPCCharacter,gear_practice_dummy_nord,attr:name,,Nord Gear Dummy
39993,战帆DLC,NavalDLC,角色人物,naval_characters.xml,NavalDLC/ModuleData/naval_characters.xml,/NPCCharacters[1]/NPCCharacter[207],NPCCharacter,naval_storyline_sister,attr:name,,(Little sister name set by culture)
40417,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[1],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_nord,attr:name,,stage_2_page_0_branch_0_nord
40418,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[2],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_nord,attr:name,,stage_2_page_0_branch_1_nord
40419,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[3],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_nord,attr:name,,stage_2_page_0_branch_2_nord
40420,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[4],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_nord,attr:name,,stage_2_page_0_branch_3_nord
40421,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[5],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_nord,attr:name,,stage_2_page_0_branch_4_nord
40422,战帆DLC,NavalDLC,角色人物,naval_education_character_templates.xml,NavalDLC/ModuleData/naval_education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[6],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_nord,attr:name,,stage_2_page_0_branch_5_nord
21152,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[1],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_aserai,attr:name,,stage_2_page_0_branch_0_aserai
21153,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[2],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_battania,attr:name,,stage_2_page_0_branch_0_battania
21154,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[3],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_empire,attr:name,,stage_2_page_0_branch_0_empire
21155,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[4],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_khuzait,attr:name,,stage_2_page_0_branch_0_khuzait
21156,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[5],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_sturgia,attr:name,,stage_2_page_0_branch_0_sturgia
21157,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[6],NPCCharacter,child_education_templates_stage_2_page_0_branch_0_vlandia,attr:name,,stage_2_page_0_branch_0_vlandia
21158,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[7],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_aserai,attr:name,,stage_2_page_0_branch_1_aserai
21159,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[8],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_battania,attr:name,,stage_2_page_0_branch_1_battania
21160,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[9],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_empire,attr:name,,stage_2_page_0_branch_1_empire
21161,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[10],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_khuzait,attr:name,,stage_2_page_0_branch_1_khuzait
21162,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[11],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_sturgia,attr:name,,stage_2_page_0_branch_1_sturgia
21163,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[12],NPCCharacter,child_education_templates_stage_2_page_0_branch_1_vlandia,attr:name,,stage_2_page_0_branch_1_vlandia
21164,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[13],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_aserai,attr:name,,stage_2_page_0_branch_2_aserai
21165,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[14],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_battania,attr:name,,stage_2_page_0_branch_2_battania
21166,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[15],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_empire,attr:name,,stage_2_page_0_branch_2_empire
21167,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[16],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_khuzait,attr:name,,stage_2_page_0_branch_2_khuzait
21168,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[17],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_sturgia,attr:name,,stage_2_page_0_branch_2_sturgia
21169,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[18],NPCCharacter,child_education_templates_stage_2_page_0_branch_2_vlandia,attr:name,,stage_2_page_0_branch_2_vlandia
21170,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[19],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_khuzait,attr:name,,stage_2_page_0_branch_3_khuzait
21171,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[20],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_battania,attr:name,,stage_2_page_0_branch_3_battania
21172,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[21],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_aserai,attr:name,,stage_2_page_0_branch_3_aserai
21173,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[22],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_empire,attr:name,,stage_2_page_0_branch_3_empire
21174,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[23],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_sturgia,attr:name,,stage_2_page_0_branch_3_sturgia
21175,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[24],NPCCharacter,child_education_templates_stage_2_page_0_branch_3_vlandia,attr:name,,stage_2_page_0_branch_3_vlandia
21176,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[25],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_aserai,attr:name,,stage_2_page_0_branch_4_aserai
21177,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[26],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_battania,attr:name,,stage_2_page_0_branch_4_battania
21178,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[27],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_empire,attr:name,,stage_2_page_0_branch_4_empire
21179,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[28],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_khuzait,attr:name,,stage_2_page_0_branch_4_khuzait
21180,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[29],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_sturgia,attr:name,,stage_2_page_0_branch_4_sturgia
21181,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[30],NPCCharacter,child_education_templates_stage_2_page_0_branch_4_vlandia,attr:name,,stage_2_page_0_branch_4_vlandia
21182,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[31],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_aserai,attr:name,,stage_2_page_0_branch_5_aserai
21183,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[32],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_battania,attr:name,,stage_2_page_0_branch_5_battania
21184,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[33],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_empire,attr:name,,stage_2_page_0_branch_5_empire
21185,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[34],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_khuzait,attr:name,,stage_2_page_0_branch_5_khuzait
21186,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[35],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_sturgia,attr:name,,stage_2_page_0_branch_5_sturgia
21187,原版,SandBox,角色人物,education_character_templates.xml,SandBox/ModuleData/education_character_templates.xml,/NPCCharacters[1]/NPCCharacter[36],NPCCharacter,child_education_templates_stage_2_page_0_branch_5_vlandia,attr:name,,stage_2_page_0_branch_5_vlandia
34351,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[68],NPCCharacter,spc_notable_empire_0,attr:name,,Cautious imperial merchant
34352,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[69],NPCCharacter,spc_notable_empire_0b,attr:name,,{FIRSTNAME} the Vintner
34353,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[70],NPCCharacter,spc_notable_empire_1,attr:name,,"Empire merchant 3, ruthless"
34354,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[71],NPCCharacter,spc_notable_empire_1b,attr:name,,Cold imperial merchant
34355,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[72],NPCCharacter,spc_notable_empire_2,attr:name,,{FIRSTNAME} the Saltpanner
34356,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[73],NPCCharacter,spc_notable_empire_2b,attr:name,,"Empire merchant 6, cautious"
34357,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[74],NPCCharacter,spc_notable_empire_3,attr:name,,"Empire merchant 7, selfmade"
34358,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[75],NPCCharacter,spc_notable_empire_3b,attr:name,,"Empire merchant 8, jocular"
34359,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[76],NPCCharacter,spc_notable_empire_4,attr:name,,"Empire merchant 9, heiress"
34360,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[77],NPCCharacter,spc_notable_empire_4b,attr:name,,"Empire merchant 10, devious"
34361,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[78],NPCCharacter,spc_notable_empire_5,attr:name,,Messianic imperial preacher
34362,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[79],NPCCharacter,spc_notable_empire_6,attr:name,,Puritan imperial preacher
34363,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[80],NPCCharacter,spc_notable_empire_7,attr:name,,Female imperial mystic
34364,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[81],NPCCharacter,spc_notable_empire_8,attr:name,,Imperial gruff labor leader
34365,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[82],NPCCharacter,spc_notable_empire_9,attr:name,,Imperial outgoing labor leader
34366,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[83],NPCCharacter,spc_notable_empire_gl1,attr:name,,Protective imperial male gang leader
34367,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[84],NPCCharacter,spc_notable_empire_10,attr:name,,Ironic imperial gang leader
34368,原版,SandBox,角色人物,spspecialcharacters.xml,SandBox/ModuleData/spspecialcharacters.xml,/NPCCharacters[1]/NPCCharacter[85],NPCCharacter,spc_notable_empire_11,attr:name,,Intimidating male imperial gang leader
